refactoring,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,\DATASET\abfiles\r9\c34\before\BirdGridFragment.java,com.slidingmenu.example.fragments.BirdGridFragment$GridAdapter,innerclass,4,4,0,4,5,2,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,1,0,0,0,1,2,0,1,1,0,0,0,20,2,0
0,\DATASET\abfiles\r9\c34\before\CustomScaleAnimation.java,com.slidingmenu.example.anim.CustomScaleAnimation,class,2,3,1,2,1,4,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0
0,\DATASET\abfiles\r9\c34\before\BirdGridFragment.java,com.slidingmenu.example.fragments.BirdGridFragment,class,10,12,2,10,6,3,0,10,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,49,1,0,2,0,0,2,3,6,0,4,1,1,1,0,32,1,0
0,\DATASET\abfiles\r9\c34\before\BaseActivity.java,com.slidingmenu.example.BaseActivity,class,9,16,7,9,7,2,7,22,4,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,1,1,0,0,0,1,43,4,0,1,0,0,0,1,5,0,4,1,0,0,0,38,1,0
0,\DATASET\abfiles\r9\c34\before\FragmentChangeActivity.java,com.slidingmenu.example.fragments.FragmentChangeActivity,class,5,7,2,5,6,3,0,13,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,25,0,0,2,0,0,2,0,3,0,1,1,0,0,0,26,1,0
0,\DATASET\abfiles\r9\c34\before\AttachExample.java,com.slidingmenu.example.AttachExample,class,4,5,1,4,3,2,0,17,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,1,1,0,1,1,0,0,0,24,1,0
0,\DATASET\abfiles\r9\c34\before\SampleListFragment.java,com.slidingmenu.example.SampleListFragment$SampleItem,innerclass,0,0,0,0,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,2,0
0,\DATASET\abfiles\r9\c34\before\SlidingContent.java,com.slidingmenu.example.SlidingContent,class,3,4,1,3,2,3,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
0,\DATASET\abfiles\r9\c34\before\CustomZoomAnimation.java,com.slidingmenu.example.anim.CustomZoomAnimation,class,2,3,1,2,1,4,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0
0,\DATASET\abfiles\r9\c34\before\CustomZoomAnimation.java,com.slidingmenu.example.anim.CustomZoomAnimation$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,4,1,4,1,0,0,0,0,5,-1,0
